id,when_best,baseline
0,+10 years after publication of a peer-review paper,1
1,+5 years after publication of a peer-review paper,2
2,+3 years after publication of a peer-review paper,3
3,+1 years after publication of a peer-review paper,4
4,immediately after publication of a peer-review paper,5
5,before publication of a peer-review paper,6
